ENV,GEN,REP,BLOCK,YLD
Celaya,12,2,2,2.67
Celaya,13,2,5,3.67
Celaya,14,2,6,4.5
Celaya,15,2,4,3.67
Celaya,16,2,1,2.83
Celaya,17,2,3,3.83
Celaya,18,2,5,3
Celaya,19,2,3,5
Celaya,20,2,6,5
Celaya,21,2,2,1.67
Celaya,22,2,6,4.83
Celaya,23,2,1,4.5
Celaya,24,2,3,4.83
Celaya,25,2,1,4.33
Celaya,26,2,5,2
Celaya,27,2,2,3.17
Celaya,28,2,1,3.33
Celaya,29,2,5,2.33
Celaya,30,2,6,5
Tuxtla,2,1,2,3.5
Tuxtla,3,1,5,3.96
Tuxtla,4,1,6,3.12
Tuxtla,5,1,5,3.33
Tuxtla,6,1,2,3.42
Tuxtla,7,1,6,3.12
Tuxtla,8,1,5,3.75
Tuxtla,9,1,6,2.96
Tuxtla,10,1,2,4.17
Tuxtla,11,1,2,3.42
Tuxtla,12,1,6,2.67
Tuxtla,13,1,3,3.12
Tuxtla,14,1,5,2.67
Tuxtla,15,1,5,3.5
Tuxtla,16,1,3,3.92
Tuxtla,17,1,6,3.58
Tuxtla,18,1,4,2.92
Tuxtla,19,1,4,4.37
Tuxtla,20,1,3,3.62
Tuxtla,21,1,4,2.96
Tuxtla,22,1,1,4.17
Tuxtla,23,1,1,4.62
Tuxtla,24,1,1,4.17
Tuxtla,25,1,2,3.17
Tuxtla,26,1,1,3.79
Tuxtla,27,1,3,4.42
Tuxtla,28,1,3,3.79
Tuxtla,29,1,4,3
Tuxtla,30,1,1,4.17
Tuxtla,2,2,2,3.75
Tuxtla,3,2,1,3.75
Tuxtla,4,2,1,2.71
Tuxtla,5,2,2,3.33
Tuxtla,6,2,3,3.12
Tuxtla,7,2,4,2.96
Tuxtla,8,2,3,4.17
Tuxtla,9,2,6,2.71
Tuxtla,10,2,6,4
Tuxtla,11,2,5,3.75
Tuxtla,12,2,2,2.92
Tuxtla,13,2,4,2.79
Tuxtla,14,2,5,3.12
Tuxtla,15,2,4,3.75
Tuxtla,16,2,6,4.17
Tuxtla,17,2,5,4.29
Tuxtla,18,2,1,2.54
Tuxtla,19,2,4,3.75
Tuxtla,20,2,3,3.75
Tuxtla,21,2,3,2.92
Tuxtla,22,2,4,4.17
Tuxtla,23,2,3,3.83
Tuxtla,24,2,1,3.67
Tuxtla,25,2,1,2.71
Tuxtla,26,2,5,4.37
Tuxtla,27,2,2,3.75
Tuxtla,28,2,5,4.17
Tuxtla,29,2,2,3.12
Tuxtla,30,2,6,3.75
Ameca,2,1,4,1.18
Ameca,3,1,4,0.98
Ameca,4,1,6,1.22
Ameca,5,1,2,1.42
Ameca,6,1,1,1.37
Ameca,7,1,2,1.48
Ameca,8,1,3,1.18
Ameca,9,1,1,1.28
Ameca,10,1,5,0.9
Ameca,11,1,2,1.15
Ameca,12,1,5,0.98
Ameca,13,1,6,1.23
Ameca,14,1,2,1.57
Ameca,15,1,4,0.95
Ameca,16,1,3,1.24
Ameca,17,1,5,1.15
Ameca,18,1,4,1.43
Ameca,19,1,6,1.11
Ameca,20,1,1,1.1
Ameca,21,1,3,0.98
Ameca,22,1,6,1.24
Ameca,23,1,5,1.38
Ameca,24,1,6,1.17
Ameca,25,1,4,1.45
Ameca,26,1,5,1.66
Ameca,27,1,3,1.05
Ameca,28,1,1,1.18
Ameca,29,1,2,1.06
Ameca,30,1,3,1.04
Ameca,2,2,6,1.46
Ameca,3,2,2,1.03
Ameca,4,2,2,0.99
Ameca,5,2,1,1.12
Ameca,6,2,6,1.07
Ameca,7,2,4,1.65
Ameca,8,2,6,1.12
Ameca,9,2,3,1.35
Ameca,10,2,4,1.31
Ameca,11,2,6,1.37
Ameca,12,2,1,1.2
Ameca,13,2,4,1.14
Ameca,14,2,3,1.07
Ameca,15,2,1,1.01
Ameca,16,2,3,1.35
Ameca,17,2,3,1.12
Ameca,18,2,4,0.94
Ameca,19,2,1,1.35
Ameca,20,2,4,1.49
Ameca,21,2,1,1.08
Ameca,22,2,3,1.39
Ameca,23,2,5,1.45
Ameca,24,2,6,1.02
Ameca,25,2,5,0.76
Ameca,26,2,2,0.77
Ameca,27,2,5,1.24
Ameca,28,2,5,1.26
Ameca,29,2,5,1.71
Ameca,30,2,2,1.28
